,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,(24.0000|-561.0000),(942.0000|10637.0000),(125.0000|18754.0000),(1214.0000|73247.0000),(884.0000|7277.0000),(15.0000|1943.0000),(261.0000|35463.0000),(34.0000|4026.0000),(854.0000|8333.0000),(758.0000|10375.0000),(1092.0000|14571.0000),(811.0000|99244.0000),(844.0000|4775.0000),(52.0000|75.0000),(374.0000|21750.0000),(50.0000|17573.0000),(717.0000|93452.0000),(348.0000|-2840.0000),(25.0000|530.0000),(715.0000|11760.0000)
270.0000,-739.631836,9408.224609,4303.967773,14793.399414,8458.996094,-334.789062,3327.683594,-4493.926758,3534.446289,5515.056641,8814.113281,13788.422852,7031.113281,2283.791016,2038.594727,10161.759766,9091.528320,5708.371094,6933.817383,4675.612305
300.0000,-156.080078,10075.869141,4995.833984,15446.678711,9129.517578,286.013672,4086.155273,-3906.512695,4347.821289,6127.534180,9511.392578,14497.089844,7667.544922,2870.718750,2803.817383,10875.621094,9875.012695,6320.875977,7557.162598,5333.530273
330.0000,429.002930,10743.023438,5689.126953,16098.283203,9799.929688,908.820312,4847.265625,-3316.459961,5164.483398,6740.231934,10208.734375,15204.376953,8304.081055,3458.416016,3572.540039,11589.210938,10659.000977,6933.596191,8180.333496,5992.446289
360.0000,1015.492188,11409.486328,6383.598633,16748.076172,10470.019531,1533.467773,5610.708008,-2723.868164,5984.094727,7352.997559,10905.909180,15910.070312,8940.544922,4046.747070,4344.480469,12302.286133,11443.169922,7546.375000,8803.165039,6652.152832
390.0000,1603.250000,12075.058594,7079.001465,17395.939453,11139.585938,2159.789062,6376.177734,-2128.848633,6806.293457,7965.671875,11602.676758,16613.976562,9576.756836,4635.560547,5119.330078,13014.609375,12227.196289,8159.054688,9425.488281,7312.446777
420.0000,2192.137695,12739.550781,7775.090332,18041.759766,11808.421875,2787.604492,7143.360352,-1531.515625,7630.720215,8578.095703,12298.812500,17315.904297,10212.546875,5224.716797,5896.788086,13725.943359,13010.762695,8771.478516,10047.140625,7973.119629
450.0000,2782.014648,13402.783203,8471.613281,18685.421875,12476.332031,3416.741211,7911.933105,-931.991211,8457.005859,9190.122070,12994.093750,18015.675781,10847.749023,5814.073242,6676.541016,14436.064453,13793.559570,9383.495117,10667.968750,8633.960938
480.0000,3372.736328,14064.568359,9168.326172,19326.833984,13143.127930,4047.014648,8681.585938,-330.410156,9284.782227,9801.599609,13688.308594,18713.125000,11482.195312,6403.488281,7458.269531,15144.748047,14575.287109,9994.964844,11287.824219,9294.773438
510.0000,3964.160156,14724.747070,9864.982422,19965.906250,13808.627930,4678.239258,9451.990234,273.102539,10113.685547,10412.386719,14381.247070,19408.085938,12115.730469,6992.823242,8241.648438,15851.789062,15355.648438,10605.731445,11906.563477,9955.349609
540.0000,4556.138672,15383.150391,10561.345703,20602.562500,14472.650391,5310.228516,10222.835938,878.399414,10943.345703,11022.341797,15072.711914,20100.417969,12748.203125,7581.940430,9026.359375,16556.980469,16134.362305,11215.667969,12524.046875,10615.495117
570.0000,5148.527344,16039.632812,11257.166992,21236.728516,15135.034180,5942.798828,10993.803711,1485.332031,11773.392578,11631.333008,15762.503906,20789.982422,13379.464844,8170.706543,9812.065430,17260.126953,16911.150391,11824.643555,13140.146484,11275.013672
600.0000,5741.177734,16694.046875,11952.224609,21868.347656,15795.618164,6575.755859,11764.586914,2093.753906,12603.472656,12239.230469,16450.445312,21476.648438,14009.381836,8758.988281,10598.447266,17961.046875,17685.753906,12432.522461,13754.746094,11933.716797
630.0000,6333.946289,17346.257812,12646.288086,22497.363281,16454.250000,7208.917969,12534.873047,2703.509766,13433.223633,12845.916016,17136.365234,22160.310547,14637.820312,9346.667969,11385.181641,18659.570312,18457.916016,13039.195312,14367.725586,12591.419922
660.0000,6926.693359,17996.144531,13339.138672,23123.742188,17110.794922,7842.098145,13304.371094,3314.439453,14262.298828,13451.269531,17820.099609,22840.857422,15264.662109,9933.611328,12171.944336,19355.527344,19227.398438,13644.543945,14978.980469,13247.948242
690.0000,7519.273438,18643.585938,14030.564453,23747.437500,17765.119141,8475.112305,14072.785156,3926.382812,15090.358398,14055.187500,18501.488281,23518.199219,15889.786133,10519.712891,12958.415039,20048.765625,19993.978516,14248.464844,15588.414062,13903.130859
720.0000,8111.551758,19288.484375,14720.362305,24368.429688,18417.093750,9107.781250,14839.830078,4539.176758,15917.073242,14657.567383,19180.398438,24192.257812,16513.089844,11104.857422,13744.289062,20739.152344,20757.441406,14850.859375,16195.941406,14556.800781
750.0000,8703.389648,19930.740234,15408.337891,24986.699219,19066.621094,9739.928711,15605.233398,5152.657227,16742.113281,15258.317383,19856.691406,24862.957031,17134.472656,11688.937500,14529.256836,21426.546875,21517.583984,15451.640625,16801.474609,15208.811523
780.0000,9294.664062,20570.271484,16094.306641,25602.234375,19713.585938,10371.380859,16368.727539,5766.654297,17565.175781,15857.350586,20530.246094,25530.234375,17753.849609,12271.862305,15313.020508,22110.839844,22274.218750,16050.718750,17404.951172,15859.009766
810.0000,9885.240234,21207.001953,16778.093750,26215.033203,20357.906250,11001.972656,17130.064453,6381.010742,18385.960938,16454.585938,21200.957031,26194.050781,18371.134766,12853.534180,16095.296875,22791.917969,23027.177734,16648.023438,18006.298828,16507.263672
